Date,Close,Return,Direction,vader_neg,vader_neu,vader_pos,vader_compound,n_posts,return_lag_1,return_lag_2,return_lag_3,vader_compound_lag_1,vader_compound_lag_2,vader_compound_lag_3,vader_compound_rolling_3,vader_compound_rolling_7,n_posts_log,return_rolling_3,return_rolling_7,volatility_7
2020-01-08,8079.86279296875,-1.0268587535248286,0,0.0921,0.8259,0.08,-0.0223,510,5.077384643588934,4.829126010697582,0.0089147906127795,-0.0156,0.0092,0.008,-0.009566666666666666,0.0015999999999999996,6.236369590203704,2.9598839669205623,1.7067557867744036,3.31487151538344
2020-01-09,7879.0712890625,-2.4850855645838776,1,0.0785,0.8367,0.0849,-0.0009,419,-1.0268587535248286,5.077384643588934,4.829126010697582,-0.0223,-0.0156,0.0092,-0.012933333333333333,-0.0033000000000000004,6.040254711277414,0.5218134418267425,1.7777334512994314,3.201112854312263
2020-01-10,8166.55419921875,3.648690303834745,0,0.0616,0.8374,0.1009,0.0473,303,-2.4850855645838776,-1.0268587535248286,5.077384643588934,-0.0009,-0.0223,-0.0156,0.008033333333333335,0.0032857142857142855,5.717027701406222,0.04558199524201297,1.5639511597742128,2.98115459212351
2020-01-11,8037.53759765625,-1.5798168776598898,1,0.063,0.8611,0.0759,0.0231,194,3.648690303834745,-2.4850855645838776,-1.0268587535248286,0.0473,-0.0009,-0.0223,0.02316666666666667,0.006971428571428571,5.272999558563747,-0.1387373794696741,1.2103363647093492,3.2115630922419975
2020-01-12,8192.494140625,1.9279106453441,0,0.0518,0.8299,0.1183,0.0852,143,-1.5798168776598898,3.648690303834745,-2.4850855645838776,0.0231,0.0473,-0.0009,0.05186666666666667,0.018,4.969813299576001,1.332261357172985,1.4844786296709664,3.1735953888337667
2020-01-13,8144.1943359375,-0.5895616628883604,1,0.0608,0.8259,0.1133,0.0462,373,1.9279106453441,-1.5798168776598898,3.648690303834745,0.0852,0.0231,0.0473,0.0515,0.023285714285714288,5.924255797414532,-0.08048929840138341,0.7103803905872603,2.8679442869311345
2020-01-14,8827.7646484375,8.393344808628168,0,0.0684,0.8406,0.0909,0.0283,444,-0.5895616628883604,1.9279106453441,-1.5798168776598898,0.0462,0.0852,0.0231,0.053233333333333334,0.029557142857142858,6.09807428216624,3.2438979303613027,1.1840889855928651,3.8239823018662595
2020-01-15,8807.0107421875,-0.2350980919464507,0,0.0723,0.8451,0.0827,0.0114,383,8.393344808628168,-0.5895616628883604,1.9279106453441,0.0283,0.0462,0.0852,0.028633333333333334,0.03437142857142857,5.950642552587727,2.5228950179311194,1.2971976515326333,3.7588404890712526
2020-01-16,8723.7861328125,-0.9449813541879348,1,0.0688,0.847,0.0842,0.0116,376,-0.2350980919464507,8.393344808628168,-0.5895616628883604,0.0114,0.0283,0.0462,0.0171,0.03615714285714285,5.932245187448011,2.404421787497928,1.5172125387320539,3.5392123758057688
2020-01-17,8929.0380859375,2.352785247141642,1,0.0735,0.8201,0.1018,0.0278,431,-0.9449813541879348,-0.2350980919464507,8.393344808628168,0.0116,0.0114,0.0283,0.01693333333333333,0.033371428571428566,6.068425588244111,0.3909019336690858,1.3320832449187532,3.4416861116381456
2020-01-18,8942.80859375,0.1542216270102647,0,0.0506,0.8434,0.094,0.0621,248,2.352785247141642,-0.9449813541879348,-0.2350980919464507,0.0278,0.0116,0.0114,0.03383333333333333,0.03894285714285715,5.517452896464707,0.5206751733213243,1.579803031300204,3.254480495290858
2020-01-19,8706.2451171875,-2.6452928527155417,0,0.0416,0.8804,0.078,0.0432,193,0.1542216270102647,2.352785247141642,-0.9449813541879348,0.0621,0.0278,0.0116,0.044366666666666665,0.03294285714285715,5.267858159063328,-0.04609532618787796,0.9264882458631123,3.612302465682339
2020-01-20,8657.642578125,-0.5582491465413786,1,0.071,0.8497,0.0794,-0.0008,259,-2.6452928527155417,0.1542216270102647,2.352785247141642,0.0432,0.0621,0.0278,0.034833333333333334,0.026228571428571427,5.560681631015528,-1.0164401240822183,0.9309614624841097,3.610130938353862
2020-01-21,8745.89453125,1.0193531591149665,0,0.0887,0.8311,0.0802,-0.0134,434,-0.5582491465413786,-2.6452928527155417,0.1542216270102647,-0.0008,0.0432,0.0621,0.009666666666666667,0.020271428571428572,6.075346031088684,-0.7280629467139844,-0.12246591601777619,1.567958096120664
2020-01-22,8680.8759765625,-0.7434180055016837,0,0.0739,0.8371,0.087,0.0247,498,1.0193531591149665,-0.5582491465413786,-2.6452928527155417,-0.0134,-0.0008,0.0432,0.0034999999999999996,0.02217142857142857,6.212606095751519,-0.09410466430936497,-0.1950830465256666,1.5857142609362522
2020-01-23,8406.515625,-3.160514587505292,1,0.0528,0.8538,0.0888,0.0531,436,-0.7434180055016837,1.0193531591149665,-0.5582491465413786,0.0247,-0.0134,-0.0008,0.021466666666666665,0.028100000000000003,6.07993319509559,-0.9615264779640027,-0.5115877941424319,1.9415263870459425
2020-01-24,8445.4345703125,0.4629616722148233,0,0.0859,0.8359,0.0781,-0.0113,570,-3.160514587505292,-0.7434180055016837,1.0193531591149665,0.0531,0.0247,-0.0134,0.022166666666666664,0.022514285714285712,6.3473892096560105,-1.1469903069307172,-0.781562590560549,1.5733222427615412
2020-01-25,8367.84765625,-0.918684685986848,1,0.0815,0.8328,0.0783,-0.0235,266,0.4629616722148233,-3.160514587505292,-0.7434180055016837,-0.0113,0.0531,0.0247,0.006100000000000001,0.010285714285714287,5.58724865840025,-1.2054125337591055,-0.9348349209887079,1.5182622080130825
2020-01-26,8596.830078125,2.736455433721608,1,0.0696,0.8463,0.0841,0.0116,248,-0.918684685986848,0.4629616722148233,-3.160514587505292,-0.0235,-0.0113,0.0531,-0.0077333333333333325,0.005771428571428572,5.517452896464707,0.7602441399831946,-0.16601373721197227,1.836927926262545
2020-01-27,8909.8193359375,3.640751939588928,1,0.0821,0.8474,0.067,-0.02,561,2.736455433721608,-0.918684685986848,0.4629616722148233,0.0116,-0.0235,-0.0113,-0.010633333333333333,0.0030285714285714295,6.331501849893691,1.8195075624412294,0.43384356080664294,2.311732398495896
2020-01-28,9358.58984375,5.036808165148732,0,0.0847,0.8377,0.0776,-0.0099,455,3.640751939588928,2.736455433721608,-0.918684685986848,-0.02,0.0116,-0.0235,-0.006100000000000001,0.0035285714285714295,6.1224928095143865,3.8046718461530897,1.0077657045257522,2.9041176331572873
2020-01-29,9316.6298828125,-0.4483577295090302,1,0.0738,0.8421,0.0824,-0.003,619,5.036808165148732,3.640751939588928,2.736455433721608,-0.0099,-0.02,0.0116,-0.010966666666666666,-0.00042857142857142784,6.429719478039138,2.7430674584095436,1.0499171725247027,2.876473802198015
2020-01-30,9508.9931640625,2.064730312029206,0,0.0714,0.8308,0.0962,0.0092,652,-0.4483577295090302,5.036808165148732,3.640751939588928,-0.003,-0.0099,-0.02,-0.001233333333333334,-0.006699999999999999,6.481577129276431,2.2177269158896364,1.7963807296010597,2.200237275701915
2020-01-31,9350.529296875,-1.6664631518128026,1,0.0661,0.8316,0.1023,0.0388,597,2.064730312029206,-0.4483577295090302,5.036808165148732,0.0092,-0.003,-0.0099,0.015,0.00045714285714285735,6.393590753950631,-0.016696856430875002,1.492177183311399,2.5367882317919017
2020-02-01,9392.875,0.4528695839619789,0,0.0682,0.8117,0.1201,0.0565,311,-1.6664631518128026,2.064730312029206,-0.4483577295090302,0.0388,0.0092,-0.003,0.034833333333333334,0.011885714285714286,5.7430031878094825,0.2837122480594614,1.6881135075898026,2.3668169633769875
2020-02-02,9344.365234375,-0.516452796667688,0,0.069,0.8487,0.0823,0.0088,334,0.4528695839619789,-1.6664631518128026,2.064730312029206,0.0565,0.0388,0.0092,0.0347,0.011485714285714285,5.814130531825066,-0.5766821215061699,1.223412331819903,2.4447357302723844
