Date,Close,Return,Direction,vader_neg,vader_neu,vader_pos,vader_compound,n_posts
2020-01-02,6985.47021484375,-2.981929216259072,1,0.0755,0.8246,0.0999,0.0334,319
2020-01-03,7344.88427734375,5.145166344511276,1,0.0892,0.8085,0.1023,0.0012,410
2020-01-04,7410.65673828125,0.8954866877941559,1,0.0846,0.8293,0.0861,-0.0027,155
2020-01-05,7411.3173828125,0.0089147906127795,1,0.0851,0.8104,0.0928,0.008,171
2020-01-06,7769.21923828125,4.829126010697582,1,0.0791,0.8169,0.104,0.0092,231
2020-01-07,8163.6923828125,5.077384643588934,0,0.0883,0.8265,0.0852,-0.0156,313
2020-01-08,8079.86279296875,-1.0268587535248286,0,0.0921,0.8259,0.08,-0.0223,510
2020-01-09,7879.0712890625,-2.4850855645838776,1,0.0785,0.8367,0.0849,-0.0009,419
2020-01-10,8166.55419921875,3.648690303834745,0,0.0616,0.8374,0.1009,0.0473,303
2020-01-11,8037.53759765625,-1.5798168776598898,1,0.063,0.8611,0.0759,0.0231,194
2020-01-12,8192.494140625,1.9279106453441,0,0.0518,0.8299,0.1183,0.0852,143
2020-01-13,8144.1943359375,-0.5895616628883604,1,0.0608,0.8259,0.1133,0.0462,373
2020-01-14,8827.7646484375,8.393344808628168,0,0.0684,0.8406,0.0909,0.0283,444
2020-01-15,8807.0107421875,-0.2350980919464507,0,0.0723,0.8451,0.0827,0.0114,383
2020-01-16,8723.7861328125,-0.9449813541879348,1,0.0688,0.847,0.0842,0.0116,376
2020-01-17,8929.0380859375,2.352785247141642,1,0.0735,0.8201,0.1018,0.0278,431
2020-01-18,8942.80859375,0.1542216270102647,0,0.0506,0.8434,0.094,0.0621,248
2020-01-19,8706.2451171875,-2.6452928527155417,0,0.0416,0.8804,0.078,0.0432,193
2020-01-20,8657.642578125,-0.5582491465413786,1,0.071,0.8497,0.0794,-0.0008,259
2020-01-21,8745.89453125,1.0193531591149665,0,0.0887,0.8311,0.0802,-0.0134,434
2020-01-22,8680.8759765625,-0.7434180055016837,0,0.0739,0.8371,0.087,0.0247,498
2020-01-23,8406.515625,-3.160514587505292,1,0.0528,0.8538,0.0888,0.0531,436
2020-01-24,8445.4345703125,0.4629616722148233,0,0.0859,0.8359,0.0781,-0.0113,570
2020-01-25,8367.84765625,-0.918684685986848,1,0.0815,0.8328,0.0783,-0.0235,266
2020-01-26,8596.830078125,2.736455433721608,1,0.0696,0.8463,0.0841,0.0116,248
2020-01-27,8909.8193359375,3.6407519395889274,1,0.0821,0.8474,0.067,-0.02,561
2020-01-28,9358.58984375,5.036808165148732,0,0.0847,0.8377,0.0776,-0.0099,455
2020-01-29,9316.6298828125,-0.4483577295090302,1,0.0738,0.8421,0.0824,-0.003,619
2020-01-30,9508.9931640625,2.064730312029206,0,0.0714,0.8308,0.0962,0.0092,652
2020-01-31,9350.529296875,-1.6664631518128026,1,0.0661,0.8316,0.1023,0.0388,597
2020-02-01,9392.875,0.4528695839619789,0,0.0682,0.8117,0.1201,0.0565,311
2020-02-02,9344.365234375,-0.516452796667688,0,0.069,0.8487,0.0823,0.0088,334
2020-02-03,9293.521484375,-0.5441113304621492,0,0.063,0.841,0.096,0.0334,725
2020-02-04,9180.962890625,-1.2111511652417528,1,0.0655,0.8236,0.1102,0.057,1460
2020-02-05,9613.423828125,4.710409383547343,1,0.0762,0.827,0.0951,0.0269,1196
2020-02-06,9729.8017578125,1.2105773319493585,1,0.0636,0.8577,0.0776,0.0258,963
2020-02-07,9795.943359375,0.6797836503646293,1,0.0614,0.8441,0.0945,0.0414,865
2020-02-08,9865.119140625,0.7061676319697785,1,0.072,0.8374,0.0884,0.0149,453
2020-02-09,10116.673828125,2.549940694219166,0,0.0631,0.8343,0.1026,0.0619,371
2020-02-10,9856.611328125,-2.5706324471686526,1,0.0545,0.8426,0.1029,0.064,749
2020-02-11,10208.236328125,3.5674025108068053,1,0.0568,0.8497,0.0934,0.0463,1091
2020-02-12,10326.0546875,1.1541499979814906,0,0.0567,0.8491,0.0943,0.0462,1095
2020-02-13,10214.3798828125,-1.0814856987217514,1,0.0644,0.8295,0.1061,0.0486,913
2020-02-14,10312.1162109375,0.9568503349817404,0,0.0654,0.831,0.1036,0.05,943
2020-02-15,9889.4248046875,-4.09897830477971,1,0.045,0.8575,0.0976,0.0762,380
2020-02-16,9934.43359375,0.4551203932625647,0,0.0526,0.8582,0.0892,0.0482,323
2020-02-17,9690.142578125,-2.459033152918644,1,0.06,0.8488,0.0912,0.0192,479
2020-02-18,10141.99609375,4.66302236506857,0,0.0602,0.8571,0.0827,0.0303,1030
2020-02-19,9633.38671875,-5.014884351152826,0,0.052,0.8598,0.0875,0.0524,1304
2020-02-20,9608.4755859375,-0.2585916411308786,1,0.0609,0.8604,0.0787,0.0226,1694
2020-02-21,9686.44140625,0.8114275736580634,0,0.0698,0.8317,0.0964,0.0325,1412
2020-02-22,9663.181640625,-0.2401270461409255,1,0.0704,0.8217,0.1042,0.0423,543
2020-02-23,9924.515625,2.704430011708836,0,0.0717,0.8398,0.0885,0.0156,416
2020-02-24,9650.1748046875,-2.7642741538078885,0,0.0755,0.8315,0.0915,0.0123,1338
2020-02-25,9341.705078125,-3.196519574056456,0,0.0682,0.8481,0.0829,0.0183,1285
2020-02-26,8820.5224609375,-5.579095174048332,0,0.0743,0.8395,0.0863,0.015,1419
2020-02-27,8784.494140625,-0.4084601617654115,0,0.077,0.8373,0.0834,0.0104,2192
2020-02-28,8672.455078125,-1.2754184897438958,0,0.0745,0.8337,0.0905,0.0171,2285
2020-02-29,8599.5087890625,-0.8411261679117432,0,0.0835,0.8376,0.0772,-0.0159,1181
2020-03-01,8562.4541015625,-0.4308930708592173,1,0.0725,0.8507,0.0748,-0.0061,979
2020-03-02,8869.669921875,3.587941221856461,0,0.0953,0.8285,0.0751,-0.0321,1727
2020-03-03,8787.7861328125,-0.9231886844013548,0,0.0975,0.8121,0.0897,-0.0187,1695
2020-03-04,8755.24609375,-0.3702871072499114,1,0.0718,0.8358,0.0924,0.0156,1116
2020-03-05,9078.7626953125,3.695117168590434,1,0.0735,0.8436,0.0821,-0.0044,1205
2020-03-06,9122.5458984375,0.4822595830994203,0,0.0636,0.8448,0.0916,0.025,1317
2020-03-07,8909.9541015625,-2.330399860322019,0,0.0788,0.8423,0.0789,-0.0067,820
2020-03-08,8108.1162109375,-8.999349283790192,0,0.0839,0.8382,0.0719,-0.0275,665
2020-03-09,7923.64453125,-2.275148442478603,0,0.0791,0.8274,0.0931,0.0111,2338
2020-03-10,7909.7294921875,-0.1756141256415655,1,0.083,0.8302,0.0868,-0.0006,1466
2020-03-11,7911.43017578125,0.0215011600008585,0,0.0746,0.8439,0.0787,0.0033,1421
2020-03-12,4970.7880859375,-37.16953856011708,1,0.0793,0.835,0.0836,0.0069,3228
2020-03-13,5563.70703125,11.928067241286833,0,0.0837,0.8331,0.0813,-0.0063,2710
2020-03-14,5200.3662109375,-6.530552710121185,1,0.0854,0.8347,0.0792,-0.0133,1390
2020-03-15,5392.31494140625,3.6910617960912,0,0.087,0.8383,0.0733,-0.0217,1457
2020-03-16,5014.47998046875,-7.006915676163484,1,0.0719,0.8359,0.0891,0.0221,3359
2020-03-17,5225.62939453125,4.210793838741411,1,0.0803,0.8411,0.0757,-0.0152,2067
2020-03-18,5238.4384765625,0.2451203685560843,1,0.0787,0.8344,0.0853,0.0072,2514
2020-03-19,6191.19287109375,18.187755736638024,1,0.0787,0.8402,0.0811,0.001,1969
2020-03-20,6198.7783203125,0.1225199953657663,0,0.092,0.8347,0.0728,-0.0216,1936
2020-03-21,6185.06640625,-0.221203491300348,0,0.086,0.8343,0.0786,-0.0105,917
2020-03-22,5830.2548828125,-5.736583896317804,1,0.0846,0.8368,0.0786,-0.007,966
2020-03-23,6416.31494140625,10.052048673231171,1,0.0858,0.8419,0.0711,-0.0241,1683
2020-03-24,6734.8037109375,4.963733427047878,0,0.0882,0.8316,0.0791,-0.0168,1746
2020-03-25,6681.06298828125,-0.7979552925792555,1,0.0941,0.8171,0.0871,-0.0163,1751
2020-03-26,6716.4404296875,0.5295181540467819,0,0.0817,0.8329,0.0853,-0.003,1867
2020-03-27,6469.79833984375,-3.672214358569481,0,0.0831,0.8341,0.0821,-0.0071,1405
2020-03-28,6242.19384765625,-3.517953423460129,0,0.0959,0.8267,0.0774,-0.0374,762
2020-03-29,5922.04296875,-5.128819878390301,1,0.0925,0.8245,0.083,-0.0204,718
2020-03-30,6429.841796875,8.574723804008189,1,0.0849,0.8303,0.0839,-0.013,1058
2020-03-31,6438.64453125,0.1369043695488514,1,0.0866,0.831,0.0814,-0.0145,1069
2020-04-01,6606.7763671875,2.6112924097839496,1,0.0781,0.8382,0.0838,-0.0025,1009
2020-04-02,6793.62451171875,2.828128789998541,0,0.0934,0.8234,0.0822,-0.0261,979
2020-04-03,6733.38720703125,-0.8866740365705117,1,0.1092,0.8225,0.0675,-0.0576,1231
2020-04-04,6867.52734375,1.992164308903499,0,0.0789,0.8403,0.0785,-0.0091,442
2020-04-05,6791.12939453125,-1.1124520572645125,1,0.076,0.8529,0.0711,0.0042,515
2020-04-06,7271.78125,7.077642429487629,0,0.084,0.838,0.077,-0.0092,995
2020-04-07,7176.41455078125,-1.3114627068677276,1,0.0853,0.8301,0.0837,-0.0023,995
2020-04-08,7334.0986328125,2.197254365887824,0,0.1082,0.7958,0.0951,-0.0215,1063
2020-04-09,7302.08935546875,-0.4364445986660414,0,0.0831,0.8304,0.0865,-0.0041,1270
2020-04-10,6865.4931640625,-5.979058460566089,0,0.091,0.8348,0.0731,-0.0222,944
2020-04-11,6859.0830078125,-0.0933677464505233,1,0.0776,0.8368,0.0826,0.0049,656
2020-04-12,6971.091796875,1.6329994685138294,0,0.0635,0.862,0.0745,0.0055,671
2020-04-13,6845.03759765625,-1.8082418492216368,0,0.0693,0.8466,0.0828,0.0112,829
2020-04-14,6842.427734375,-0.0381278151363795,0,0.0807,0.8313,0.0863,-0.0145,1149
2020-04-15,6642.10986328125,-2.9275847531044064,1,0.0739,0.8327,0.0934,0.0186,1037
2020-04-16,7116.80419921875,7.146740203164859,0,0.068,0.8466,0.0854,0.0131,1024
2020-04-17,7096.1845703125,-0.2897315751431484,1,0.0757,0.8402,0.0832,0.0068,1130
2020-04-18,7257.6650390625,2.275595669052466,0,0.0821,0.8322,0.0857,0.0011,630
2020-04-19,7189.4248046875,-0.9402505352301916,0,0.0658,0.8592,0.0734,0.0022,615
2020-04-20,6881.95849609375,-4.276646838190478,0,0.0842,0.8244,0.0906,-0.009,1260
2020-04-21,6880.3232421875,-0.0237614613220693,1,0.0822,0.823,0.0931,0.0066,1265
2020-04-22,7117.20751953125,3.4429236680519004,1,0.079,0.834,0.087,0.0182,917
2020-04-23,7429.724609375,4.391007132869618,1,0.0771,0.8281,0.0948,0.0187,967
2020-04-24,7550.90087890625,1.6309658285092787,1,0.0749,0.8301,0.095,0.0088,864
2020-04-25,7569.93603515625,0.2520911948821203,1,0.0788,0.824,0.0952,0.0115,508
2020-04-26,7679.8671875,1.4522071498782596,1,0.0835,0.8371,0.0793,-0.004,460
2020-04-27,7795.60107421875,1.5069777105927384,1,0.0685,0.8453,0.0834,0.0244,750
2020-04-28,7807.05859375,0.1469741643032707,1,0.0695,0.8448,0.0833,0.0121,847
2020-04-29,8801.0380859375,12.731805202323422,0,0.0659,0.8288,0.1044,0.0469,1135
2020-04-30,8658.5537109375,-1.6189496467202469,1,0.0649,0.8341,0.101,0.0377,937
2020-05-01,8864.7666015625,2.3816089558295506,1,0.0678,0.8247,0.1056,0.0417,1072
2020-05-02,8988.5966796875,1.3968791699848548,0,0.0225,0.9504,0.0261,-0.0006,1854
2020-05-03,8897.46875,-1.0138170944239966,1,0.055,0.8454,0.0946,0.0236,398
2020-05-04,8912.654296875,0.1706726632223265,1,0.0625,0.8617,0.0758,0.0207,605
2020-05-05,9003.0703125,1.0144678859214995,1,0.0576,0.8595,0.0815,0.0282,720
2020-05-06,9268.76171875,2.9511199738283755,1,0.0669,0.8385,0.0946,0.0229,790
2020-05-07,9951.5185546875,7.366214135771076,0,0.0723,0.8396,0.0881,0.0152,905
2020-05-08,9842.666015625,-1.0938284289408906,0,0.0813,0.8254,0.0909,0.0042,849
2020-05-09,9593.896484375,-2.5274608612654736,0,0.0657,0.8655,0.0688,-0.0022,447
2020-05-10,8756.4306640625,-8.729152140388742,0,0.0739,0.8468,0.0765,0.0136,353
2020-05-11,8601.7958984375,-1.7659566044374797,1,0.0667,0.8444,0.0889,0.0262,611
2020-05-12,8804.4775390625,2.3562712138033515,1,0.0647,0.8522,0.0831,0.0148,792
2020-05-13,9269.9873046875,5.287193516704303,1,0.0705,0.8374,0.0921,0.0169,726
2020-05-14,9733.7216796875,5.002535168149658,0,0.063,0.8515,0.0842,0.019,766
2020-05-15,9328.197265625,-4.166180495059313,1,0.0775,0.826,0.0965,0.028,664
2020-05-16,9377.013671875,0.5233209039209763,1,0.079,0.8275,0.0909,0.0147,393
2020-05-17,9670.7392578125,3.132400103227817,1,0.0641,0.8606,0.0753,0.0178,331
2020-05-18,9726.5751953125,0.5773698991511145,1,0.0683,0.829,0.0972,0.031,912
2020-05-19,9729.0380859375,0.0253212520907375,0,0.0561,0.8526,0.0913,0.0366,783
2020-05-20,9522.9814453125,-2.117954918100662,0,0.0631,0.8461,0.0895,0.0224,781
2020-05-21,9081.76171875,-4.633209978369557,1,0.0758,0.8316,0.09,0.0189,767
2020-05-22,9182.5771484375,1.110086707949609,1,0.0799,0.8412,0.0774,-0.0025,648
2020-05-23,9209.287109375,0.2908765208909258,0,0.07,0.8427,0.0872,0.0273,398
2020-05-24,8790.3681640625,-4.548874851409979,1,0.0713,0.8399,0.0888,0.0263,305
2020-05-25,8906.9345703125,1.3260696716498988,0,0.0674,0.8536,0.0791,0.0087,319
2020-05-26,8835.052734375,-0.8070322664891605,1,0.0662,0.8459,0.085,0.0259,707
2020-05-27,9181.017578125,3.9158209254817056,1,0.0631,0.8404,0.0953,0.052,813
2020-05-28,9525.7509765625,3.754849563286689,0,0.0612,0.8415,0.0973,0.0525,791
2020-05-29,9439.1240234375,-0.9093976247976698,1,0.0753,0.8255,0.0964,0.0284,721
2020-05-30,9700.4140625,2.768159825145977,0,0.0764,0.8379,0.0857,-0.0161,389
2020-05-31,9461.05859375,-2.4674768232348376,1,0.0812,0.835,0.0814,-0.0136,416
2020-06-01,10167.2685546875,7.464386293982206,0,0.0774,0.834,0.0885,0.0049,692
2020-06-02,9529.8037109375,-6.269774820259899,1,0.0655,0.8492,0.0839,0.0157,724
2020-06-03,9656.7177734375,1.3317594606312655,1,0.0586,0.8598,0.0816,0.0358,667
2020-06-04,9800.63671875,1.4903505382374729,0,0.0551,0.8519,0.093,0.0488,636
2020-06-05,9665.533203125,-1.3785177382049874,0,0.0599,0.8209,0.1181,0.0581,970
2020-06-06,9653.6796875,-0.1226369552087214,1,0.0721,0.815,0.1128,0.0416,380
2020-06-07,9758.8525390625,1.0894586827723485,1,0.0622,0.8498,0.088,0.0313,339
2020-06-08,9771.4892578125,0.1294898011771073,1,0.0559,0.8397,0.1044,0.0673,1225
2020-06-09,9795.7001953125,0.2477712133863718,1,0.0695,0.8375,0.0875,0.0246,1263
2020-06-10,9870.0947265625,0.7594610876882513,0,0.0486,0.8521,0.0977,0.0503,1307
2020-06-11,9321.78125,-5.555301055894358,1,0.0669,0.8351,0.0965,0.0372,1848
2020-06-12,9480.84375,1.706353064227928,0,0.0672,0.8301,0.1027,0.0354,1348
2020-06-13,9475.27734375,-0.0587121399400758,0,0.0596,0.8409,0.0995,0.0437,701
2020-06-14,9386.7880859375,-0.9338962291258746,1,0.0529,0.8478,0.0961,0.0428,620
2020-06-15,9450.7021484375,0.6808938469139436,1,0.0771,0.8417,0.0811,0.0099,1026
2020-06-16,9538.0244140625,0.9239764861221244,0,0.0683,0.8364,0.0953,0.0284,1034
2020-06-17,9480.2548828125,-0.6056760681470541,0,0.0835,0.8362,0.0792,-0.0139,966
2020-06-18,9411.8408203125,-0.7216479234543938,0,0.1147,0.8016,0.0773,-0.0768,937
2020-06-19,9288.0185546875,-1.3156009327927487,1,0.0792,0.8199,0.0977,0.0123,938
2020-06-20,9332.3408203125,0.4771982890003023,0,0.0591,0.849,0.0901,0.0279,579
2020-06-21,9303.6298828125,-0.3076499032001578,1,0.0682,0.8526,0.0739,0.0084,379
2020-06-22,9648.7177734375,3.709174751916078,0,0.0633,0.8486,0.0882,0.0293,691
2020-06-23,9629.658203125,-0.1975347477254474,0,0.0632,0.8577,0.0765,0.0298,757
2020-06-24,9313.6103515625,-3.282025643027875,0,0.066,0.8278,0.1048,0.0324,754
2020-06-25,9264.8134765625,-0.5239308190707503,0,0.0699,0.8392,0.0881,0.016,728
2020-06-26,9162.91796875,-1.0998117562784016,0,0.0879,0.8078,0.1044,0.0163,792
2020-06-27,9045.390625,-1.2826410118569775,1,0.0623,0.8524,0.0852,0.0266,403
2020-06-28,9143.58203125,1.085540805486218,1,0.0435,0.8461,0.1104,0.0633,376
