asset,feature_set,model,accuracy,precision,recall,f1,n_train,n_test
BTC,price_only,Logistic Regression,0.5212,0.5,0.4513,0.4744,940,236
BTC,price_only,Random Forest,0.5381,0.5172,0.531,0.524,940,236
BTC,price_only,XGBoost,0.4788,0.4627,0.5487,0.502,940,236
BTC,price_plus_sentiment,Logistic Regression,0.5212,0.5,0.3805,0.4322,940,236
BTC,price_plus_sentiment,Random Forest,0.5805,0.5745,0.4779,0.5217,940,236
BTC,price_plus_sentiment,XGBoost,0.5636,0.5397,0.6018,0.569,940,236
SP500,price_only,Logistic Regression,0.5,0.4483,0.5417,0.4906,646,162
SP500,price_only,Random Forest,0.5062,0.4661,0.7639,0.5789,646,162
SP500,price_only,XGBoost,0.4198,0.4068,0.6667,0.5053,646,162
SP500,price_plus_sentiment,Logistic Regression,0.5,0.4384,0.4444,0.4414,646,162
SP500,price_plus_sentiment,Random Forest,0.5185,0.4667,0.5833,0.5185,646,162
SP500,price_plus_sentiment,XGBoost,0.5185,0.4712,0.6806,0.5568,646,162
